calendar,techweek_id,calendar_block_id,partiful_id,rerank_id,entry_type,status,category,start,end,actual_start,actual_end,title,location,venue_query,venue_precision,route_mode,travel_minutes,route_details,subway_segments,transit_risk,note,rank,tier,opportunity_score,event_url
schedule,TW-5372,TW-5372-SCHEDULE,5K5c4eODrGPKME7or20H,5372,event,applied,primary,2026-06-04 16:00,2026-06-04 18:51,2026-06-04 16:00,2026-06-04 19:00,[TW-5372] [PENDING] Shipping Faster with AI Coding Agents: What's Working and What's Not,"New York, NY","Spring St and Broadway, New York, NY",approx_neighborhood_hidden,,,,,,Leave early if needed so you can make the registered 19:00 Stop Making AI Guess event. Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none. Route calendar shortens this from the event's scheduled 19:00 end; leave 9 min early for transit.,4,S,100,https://partiful.com/e/5K5c4eODrGPKME7or20H
reference,TW-4191,TW-4191-REFERENCE,6BlGFmwIdpyndqyLYS2v,4191,event,applied,backup,2026-06-04 18:00,2026-06-04 20:00,2026-06-04 18:00,2026-06-04 20:00,[TW-4191] [PENDING BACKUP] Agents at Scale,SoHo,"Spring St and Broadway, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,10,S,93,https://partiful.com/e/6BlGFmwIdpyndqyLYS2v?c=bv5YqCoL
reference,TW-4826,TW-4826-REFERENCE,sGvp4VIr3KrGqRoWCKhV,4826,event,applied,backup,2026-06-04 18:00,2026-06-04 19:30,2026-06-04 18:00,2026-06-04 19:30,[TW-4826] [PENDING BACKUP] Steal These AI Workflows: Live Demos from NYC's Top AI Builders,Union Square,"Union Square E, New York, NY 10003",exact_from_partiful_maps,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none. Secondary Google Form submitted for UbiquityOS Accolades build demo.,34,A,66,https://partiful.com/e/sGvp4VIr3KrGqRoWCKhV
reference,TW-4183,TW-4183-REFERENCE,bETmU06uq4TtORng6I1l,4183,event,applied,apply,2026-06-04 18:30,2026-06-04 21:30,2026-06-04 18:30,2026-06-04 21:30,[TW-4183] [PENDING CURATED] Engineering Leaders After Hours: A Build and Ship Cocktail Competition,"BarChef NYC, 21 W 35th St,, New York, NY","BarChef NYC, 21 W 35th St,, New York, NY",exact_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,20,S,78,https://partiful.com/e/bETmU06uq4TtORng6I1l
schedule,TW-5114,TW-5114-TRAVEL-IN,X0u5GrmzvIUTrjoAOgVm,,travel,registered,travel,2026-06-04 18:51,2026-06-04 19:00,2026-06-04 18:51,2026-06-04 19:00,[TW-5114-TRAVEL-IN] Shipping Faster with AI Coding Agents: What's Working and What's Not -> Stop Making AI Guess: When Your Codebase Becomes the Spec,Shipping Faster with AI Coding Agents: What's Working and What's Not -> Union Square,Shipping Faster with AI Coding Agents: What's Working and What's Not -> Union Square,,subway+walk,9,Walk 0 min to Prince St (N/Q/R/W); subway 4 min; walk 0 min from 14 St-Union Sq (N/Q/R/W); includes 5 min buffer.,N Prince St to 14 St-Union Sq,Minor delays possible,Leave previous event 9 min before its scheduled end.,,,,https://partiful.com/e/X0u5GrmzvIUTrjoAOgVm
reference,TW-5114,TW-5114-REFERENCE,X0u5GrmzvIUTrjoAOgVm,5114,event,registered,apply,2026-06-04 19:00,2026-06-04 20:45,2026-06-04 19:00,2026-06-04 20:45,[TW-5114] [REG CURATED] Stop Making AI Guess: When Your Codebase Becomes the Spec,Union Square,"Union Square, Manhattan, New York, NY",approx_neighborhood_hidden,,,,,,Registered direct. This is the Thursday anchor unless a substantially better curated dinner approves. Registered; monitor for updates Submitted via Partiful API; rsvpStatus=GOING; count=2; plusOne=TBD.,21,S,76,https://partiful.com/e/X0u5GrmzvIUTrjoAOgVm
reference,TW-5204,TW-5204-REFERENCE,eSldi3iNIvAVo9utdd8S,5204,event,applied,backup,2026-06-04 19:00,2026-06-04 20:30,2026-06-04 19:00,2026-06-04 20:30,[TW-5204] [PENDING BACKUP] From Prediction Markets to Predictive Intelligence Systems,Financial District,"Wall St, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,89,B,57,https://partiful.com/e/eSldi3iNIvAVo9utdd8S
reference,TW-5231,TW-5231-REFERENCE,idltitmjA4ZzL9IuK0Y6,5231,event,applied,apply,2026-06-04 19:00,2026-06-04 21:00,2026-06-04 19:00,2026-06-04 21:00,[TW-5231] [PENDING CURATED] AI BUILDERS DINNER,"Flatiron, Manhattan, New York, NY","23rd Street and Broadway, New York, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,11,S,90,https://partiful.com/e/idltitmjA4ZzL9IuK0Y6
schedule,TW-5114,TW-5114-SCHEDULE,X0u5GrmzvIUTrjoAOgVm,5114,event,registered,apply,2026-06-04 19:00,2026-06-04 20:45,2026-06-04 19:00,2026-06-04 20:45,[TW-5114] [REG] Stop Making AI Guess: When Your Codebase Becomes the Spec,Union Square,"Union Square, Manhattan, New York, NY",approx_neighborhood_hidden,,,,,,Registered direct. This is the Thursday anchor unless a substantially better curated dinner approves. Registered; monitor for updates Submitted via Partiful API; rsvpStatus=GOING; count=2; plusOne=TBD.,21,S,76,https://partiful.com/e/X0u5GrmzvIUTrjoAOgVm
reference,TW-5207,TW-5207-REFERENCE,ed2EFWip0do9OuYmVPZI,5207,event,applied,backup,2026-06-04 20:00,2026-06-04 21:30,2026-06-04 20:00,2026-06-04 21:30,"[TW-5207] [PENDING BACKUP] Free Phos, Real Convos. Agents in your DMs",Flatiron,"Pho Dragon Restaurant, 47 W 14th St, New York, NY 10011",exact_from_partiful_maps,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none. Required follow questions answered truthfully as Not yet.,18,S,79,https://partiful.com/e/ed2EFWip0do9OuYmVPZI
schedule,TW-5114,TW-20260604-TRAVEL-HOME,X0u5GrmzvIUTrjoAOgVm,,travel,registered,travel,2026-06-04 20:45,2026-06-04 21:03,2026-06-04 20:45,2026-06-04 21:03,[TW-20260604-TRAVEL-HOME] Stop Making AI Guess: When Your Codebase Becomes the Spec -> FiDi home base,Stop Making AI Guess: When Your Codebase Becomes the Spec -> FiDi home base,Stop Making AI Guess: When Your Codebase Becomes the Spec -> FiDi home base,,subway+walk,18,Walk 0 min to 14 St-Union Sq (N/Q/R/W); subway 13 min; walk 0 min from Wall St (2/3); includes 5 min buffer.,N 14 St-Union Sq to 14 St-Union Sq; 5 14 St-Union Sq to Wall St,Normal service,,,,,https://partiful.com/e/X0u5GrmzvIUTrjoAOgVm
schedule,TW-5722,TW-5722-TRAVEL-IN,jkjGahQgmH9PLIxjfTFt,,travel,registered,travel,2026-06-05 16:22,2026-06-05 17:00,2026-06-05 16:22,2026-06-05 17:00,[TW-5722-TRAVEL-IN] FiDi home base -> Bare Metal Happy Hour: Autonomous Systems & Agent Fleet Orchestration,FiDi home base -> Union Square,FiDi home base -> Union Square,,subway+walk,38,Walk 0 min to Wall St (2/3); subway 29 min; walk 4 min from 14 St-Union Sq (N/Q/R/W); includes 5 min buffer.,2 Wall St to 23 St; N 23 St to 14 St-Union Sq,Minor delays possible,,,,,https://partiful.com/e/jkjGahQgmH9PLIxjfTFt
reference,TW-5722,TW-5722-REFERENCE,jkjGahQgmH9PLIxjfTFt,5722,event,applied,primary,2026-06-05 17:00,2026-06-05 20:00,2026-06-05 17:00,2026-06-05 20:00,[TW-5722] [PENDING PRIMARY] Bare Metal Happy Hour: Autonomous Systems & Agent Fleet Orchestration,Union Square,"Union Square Park, 201 Park Ave S, New York, NY 10003",exact_from_partiful_maps,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,45,A,64,https://partiful.com/e/jkjGahQgmH9PLIxjfTFt
schedule,TW-5722,TW-5722-SCHEDULE,jkjGahQgmH9PLIxjfTFt,5722,event,applied,primary,2026-06-05 17:00,2026-06-05 20:00,2026-06-05 17:00,2026-06-05 20:00,[TW-5722] [PENDING] Bare Metal Happy Hour: Autonomous Systems & Agent Fleet Orchestration,Union Square,"Union Square Park, 201 Park Ave S, New York, NY 10003",exact_from_partiful_maps,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,45,A,64,https://partiful.com/e/jkjGahQgmH9PLIxjfTFt
reference,TW-250,TW-250-REFERENCE,kvGpuFMeACW7ZWPYtxTP,250,event,applied,apply,2026-06-05 18:00,2026-06-05 21:00,2026-06-05 18:00,2026-06-05 21:00,[TW-250] [PENDING CURATED] YouCode AI Salon,"New York, NY","Barclays Center, Brooklyn, NY",approx_neighborhood_hidden,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,26,A,73,https://partiful.com/e/kvGpuFMeACW7ZWPYtxTP
schedule,TW-5722,TW-20260605-TRAVEL-HOME,jkjGahQgmH9PLIxjfTFt,,travel,registered,travel,2026-06-05 20:00,2026-06-05 20:22,2026-06-05 20:00,2026-06-05 20:22,[TW-20260605-TRAVEL-HOME] Bare Metal Happy Hour: Autonomous Systems & Agent Fleet Orchestration -> FiDi home base,Bare Metal Happy Hour: Autonomous Systems & Agent Fleet Orchestration -> FiDi home base,Bare Metal Happy Hour: Autonomous Systems & Agent Fleet Orchestration -> FiDi home base,,subway+walk,22,Walk 4 min to 14 St-Union Sq (N/Q/R/W); subway 13 min; walk 0 min from Wall St (2/3); includes 5 min buffer.,N 14 St-Union Sq to 14 St-Union Sq; 5 14 St-Union Sq to Wall St,Normal service,,,,,https://partiful.com/e/jkjGahQgmH9PLIxjfTFt
