invite_rank,rank,tier,recommended_action,opportunity_score,practical_score,confidence,access_bucket,buyer_fit_score,product_fit_score,topic_fit_score,signal_score,location_score,schedule_score,negative_score,fit_summary,matched_signals,caveats,description_excerpt,id,name,date,time,weekday,start_datetime_local,city,location,locations,time_bucket,company,primary_host,cohosts,all_hosts,host_keys,invite_only,sponsor_tier,event_url,source_url,fetch_status,fetch_error,final_url,canonical_url,local_html_path,page_title,event_description
215,353,C,Low priority,42,35,medium,apply_or_curated,0,0,10,22,4,9,-12,"topic: AI; signal: curated room, builders/operators","AI, curated room, builders/operators, founders, networking format","reasonable Manhattan; still high-density, evening friendly; off-ICP signals: wellness/social; apply or curated","The Hidden Variable: Women’s Physiology in AI, Performance & Longevity For decades, health research, fitness programming, and even AI systems have been built on male baselines. As personalized health, wearables, and data-driven optimization become mainstream,...",222,"Women’s Physiology in AI, Performance & Longevity",2026-06-04,18:00:00,Thursday,2026-06-04 18:00,New York City,Chelsea,Chelsea,Evening,AskPetal,AskPetal,,AskPetal,askpetal,False,,https://partiful.com/e/n5x8mA6dCodI2A53nAtk,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/n5x8mA6dCodI2A53nAtk,https://partiful.com/e/n5x8mA6dCodI2A53nAtk,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/n5x8mA6dCodI2A53nAtk-fd41741fe8.html,"Women’s Physiology in AI, Perf… | Partiful","The Hidden Variable: Women’s Physiology in AI, Performance & Longevity

For decades, health research, fitness programming, and even AI systems have been built on male baselines.

As personalized health, wearables, and data-driven optimization become mainstream, one critical variable remains under-modeled: women’s physiology.

This panel brings together founders, researchers, operators, and investors to explore:

• How hormonal fluctuation impacts performance, cognition, and recovery
• Why women are often misrepresented in health and training data
• The implications for AI, product design, and workplace performance
• Where the next wave of opportunity in women’s health innovation lives

Expect a sharp, science-forward conversation — not a wellness panel.

45-minute moderated discussion
15-minute audience Q&A
Curated networking to follow

Open to founders, engineers, clinicians, investors, and operators interested in the future of personalized health.

Space is limited.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
216,367,C,Low priority,41,39,medium,apply_or_curated,0,0,23,4,8,9,-7,"topic: infra/platform, enterprise; signal: founders","infra/platform, enterprise, founders","downtown convenient; peak early-week day, midday; off-ICP signals: off-ICP vertical; apply or curated","Join us in-person for the Techstars Investor Preview Spring 2026 in New York City on Tuesday, June 2nd! You’ll have the opportunity to hear pitches from and meet the founders of 14 groundbreaking startups from the Spring 2026 classes of the Techstars NYC and...",5412,Techstars Investor Preview,2026-06-02,12:00:00,Tuesday,2026-06-02 12:00,New York City,SoHo,SoHo,Noon,Techstars,Techstars,,Techstars,techstars,False,,https://partiful.com/e/t9rcgqhGn2tx8udcMKmX,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/t9rcgqhGn2tx8udcMKmX,https://partiful.com/e/t9rcgqhGn2tx8udcMKmX,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/t9rcgqhGn2tx8udcMKmX-bc9f33182a.html,Techstars Investor Preview - #… | Partiful,"Join us in-person for the Techstars Investor Preview Spring 2026 in New York City on Tuesday, June 2nd!

You’ll have the opportunity to hear pitches from and meet the founders of 14 groundbreaking startups from the Spring 2026 classes of the Techstars NYC and Techstars Anywhere programs.

As our venue has strict security protocols, attendance is limited to approved registrations only. Please ensure you register using your full legal name. A physical, government-issued ID is required for entry—photos or digital copies will not be accepted.

This event is held in collaboration with Google Cloud. Through the Google for Startups Cloud Program, founders can access expert support, up to $350K in cloud credits, and more. Learn more here: https://cloud.google.com/startup

This event is also part of #NYTechWeek, a week of events hosted by VCs and startups to bring together the broader tech ecosystem. Learn more at www.tech-week.com"
217,368,C,Low priority,41,39,low-medium,apply_or_curated,0,0,10,9,8,10,0,topic: AI; signal: curated room,"AI, curated room","downtown convenient; peak midweek day, afternoon; apply or curated","​Spark Innovation. Accelerate Execution. ​As part of NYC Tech Week, Kedrion Biopharma and InstaLILY AI have curated a half-day AI and Innovation Summit designed to move the BioPharma industry from experimentation to execution. ​The Kedrion x InstaLILY AI & In...",5822,Kedrion X InstaLILY AI and Innovation Summit,2026-06-03,13:00:00,Wednesday,2026-06-03 13:00,New York City,SoHo,SoHo,Afternoon,InstaLILY AI,InstaLILY AI,Kedrion Biopharma,InstaLILY AI; Kedrion Biopharma,instalily-ai; kedrion-biopharma,False,,https://partiful.com/e/PdiozfxUMSvzekP4cU32?,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/PdiozfxUMSvzekP4cU32,https://partiful.com/e/PdiozfxUMSvzekP4cU32,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/PdiozfxUMSvzekP4cU32-6c91c0f95f.html,RSVP to Kedrion X InstaLILY Ra… | Partiful,"​Spark Innovation. Accelerate Execution.

​As part of NYC Tech Week, Kedrion Biopharma and InstaLILY AI have curated a half-day AI and Innovation Summit designed to move the BioPharma industry from experimentation to execution.

​The Kedrion x InstaLILY AI & Innovation Summit will showcase how artificial intelligence is operationalized responsibly, at scale, and inside real-world systems.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
218,369,C,Low priority,41,39,medium,apply_or_curated,0,13,23,9,4,10,-22,"product: contribution rewards; topic: infra/platform, AI; signal: builders/operators, founders","contribution rewards, infra/platform, AI, builders/operators, founders","reasonable Manhattan; peak midweek day, afternoon; off-ICP signals: consumer/lifestyle, marketing/GTM/creator; apply or curated",From Product to Platform: What It Takes to Win the Consumer Every iconic consumer brand started with one insight the market missed. This panel brings together founders and operators who've built products people actually reach for — and turned them into platfo...,5307,Building Breakout Consumer Brands,2026-06-03,14:00:00,Wednesday,2026-06-03 14:00,New York City,Chelsea,Chelsea,Afternoon,AcceleratorCON,AcceleratorCON,,AcceleratorCON,acceleratorcon,False,,https://partiful.com/e/JfVnY8xQybNGHAIRxCRN,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/JfVnY8xQybNGHAIRxCRN,https://partiful.com/e/JfVnY8xQybNGHAIRxCRN,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/JfVnY8xQybNGHAIRxCRN-8da1ad3b0e.html,"RSVP to Building Breakout
Cons… | Partiful","From Product to Platform: What It Takes to Win the Consumer

Every iconic consumer brand started with one insight the market missed. This panel brings together founders and operators who've built products people actually reach for — and turned them into platforms people can't live without. From DTC playbooks to omnichannel scale, community-led growth to global expansion, we're unpacking the real strategies behind breakout consumer companies in 2026 and beyond.

DTC to Omnichannel
Community-Led Growth
Global Commerce
Brand vs. Performance
Consumer AI
Cross-Border Scale

SHOPLINE is awarding up to $50k grant funding and resources to help established and emerging brands unlock their full digital potential. Apply today at
https://share.hsforms.com/2t2pL1K6tQ426PBBZVnKmxwnlxrs

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
219,370,C,Low priority,41,39,low-medium,apply_or_curated,0,0,10,9,6,12,0,topic: AI; signal: private/invite,"AI, private/invite","near downtown; peak midweek day, evening friendly; apply or curated","Boardy is coming to New York and dropping into the sauna for an exclusive invite-only party for his closest friends. A special Othership session during NY Tech Week — an evening of sauna, ice baths, and new connections. Because some of the best business conve...",4441,Secret Boardy Party @Othership,2026-06-03,20:30:00,Wednesday,2026-06-03 20:30,New York City,Flatiron,Flatiron,Evening,Boardy,Boardy,Flowstate; The AI Collective,Boardy; Flowstate; The AI Collective,boardy; flowstate; the-ai-collective,False,,https://partiful.com/e/XGNkSsdTa08ivZFQRHaF,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/XGNkSsdTa08ivZFQRHaF,https://partiful.com/e/XGNkSsdTa08ivZFQRHaF,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/XGNkSsdTa08ivZFQRHaF-0ba48d7ba0.html,RSVP to Secret Boardy Party @O… | Partiful,"Boardy is coming to New York and dropping into the sauna for an exclusive invite-only party for his closest friends.

A special Othership session during NY Tech Week — an evening of sauna, ice baths, and new connections.

Because some of the best business conversations don’t happen over drinks. They happen in a sauna. 🔥

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
220,371,C,Low priority,41,39,medium,apply_or_curated,0,13,31,9,-5,1,-12,"product: manager/audit reporting; topic: infra/platform, AI, B2B SaaS; signal: builders/operators, founders","manager/audit reporting, infra/platform, AI, B2B SaaS, builders/operators, founders","less convenient; still high-density, morning drag; off-ICP signals: marketing/GTM/creator; apply or curated","ABOUT THE WEBINAR Growth-stage companies face the same problem over and over. The board approves an aggressive pipeline target. The headcount budget does not move. The CMO is expected to close that gap with the same team, the same spend, and a stack of tools...",5805,How Growth-Stage Companies Are Scaling Marketing,2026-06-04,11:00:00,Thursday,2026-06-04 11:00,New York City,Brooklyn,Brooklyn,Morning,Azarian Growth Agency,Azarian Growth Agency,,Azarian Growth Agency,azarian-growth-agency,False,,https://partiful.com/e/wMkipiKi9qhEhJC9uZSN,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/wMkipiKi9qhEhJC9uZSN,https://partiful.com/e/wMkipiKi9qhEhJC9uZSN,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/wMkipiKi9qhEhJC9uZSN-6b937c1a15.html,How Growth-Stage Companies Are… | Partiful,"ABOUT THE WEBINAR

Growth-stage companies face the same problem over and over. The board approves an aggressive pipeline target. The headcount budget does not move. The CMO is expected to close that gap with the same team, the same spend, and a stack of tools that were supposed to make everything easier, but mostly created more coordination work.

The reflex most marketing companies reach for is another tool. Another platform. Another dashboard. And six months later, the team is managing tooling instead of driving growth, output has not materially improved, and the gap between what leadership expects and what marketing delivers has quietly gotten wider.

The companies that are actually closing that gap right now are not doing it by adding people or buying more software. They are doing it by building infrastructure: AI-powered marketing systems where research, campaign execution, paid media optimization, lead nurturing, and performance reporting operate as a connected sequence rather than as disconnected tasks scattered across a team that is already stretched.

That is what this session is about.

On June 4, as part of Tech Week New York 2026, Hamlet Azarian, Founder and CEO of Azarian Growth Agency, will demonstrate exactly how those systems work: live, starting from a blank screen. Not a recorded demo. Not a slide deck with hypothetical outputs. 

A working system, built and run in real time, across the functions that matter most to a growth-stage marketing operation: demand generation, paid media, pipeline development, and performance analytics.

Azarian Growth Agency works directly with CMOs and marketing leaders at growth-stage companies, navigating precisely this pressure: boards demanding 2x results with flat resources, marketing teams that are capable but over-extended, and AI tools that have produced volume without strategic direction. 

The systems we will demonstrate in this session are the same ones built and operated for those companies. You will leave this session with a clear picture of what AI marketing systems can realistically handle across the full funnel, where human strategic judgment remains non-negotiable, and how to evaluate whether your team should build, buy, or partner to get there. 

You will also leave with a practical diagnostic framework you can run against your own marketing operation the same week, not a theoretical exercise, but a structured way to identify where operational drag is costing you the most and where AI systems would create the fastest lift.

This session is designed for CMOs and VPs of Marketing who are past the AI curiosity phase. If you have already tried the tools and found that they produce activity without outcomes, this is the session that shows you why, and what the alternative looks like in practice.

WHAT YOU WILL LEARN

Everything in this session is built around one question: how does a growth-stage marketing team do more, with the team it already has?

1. Why your current AI tool stack is making your team less productive, not more 

The problem is not the tools. The problem is that tools without a system layer create fragmentation: more inputs, more handoffs, more editing cycles, and more time spent managing software instead of driving growth. The webinar will show exactly where that breakdown happens and what the structural fix looks like across a real marketing operation.

2. What an AI-powered marketing system actually is, and how it differs from what most teams have built 

There is a meaningful difference between a collection of AI tools and a marketing system. A system connects strategy, execution, optimization, and reporting in sequence, so output moves without constant manual intervention. We show you what that architecture looks like across demand generation, paid media, pipeline nurturing, and analytics, and where each function fits.

3. A live demonstration: an AI marketing system built and run in real time 

No prerecorded demo. No best-case scenario constructed in advance. We will build and run a working AI marketing system live during the session, showing exactly which components connect, how decisions get made at each stage, what the output looks like across channels, and where human oversight is required. If something does not run cleanly in the moment, you will see that too.

4. How to scale paid media performance without scaling the team managing it 

Paid media is one of the highest-leverage places to apply AI infrastructure, and one of the most commonly mismanaged. The session will cover how AI systems handle campaign monitoring, bid strategy signals, audience segmentation updates, and performance reporting in a way that reduces the manual workload on your team without removing the strategic judgment that actually moves ROAS and CAC.

5. Pipeline development and lead nurturing at scale without proportional headcount

Building and maintaining a pipeline is operationally expensive. We will show you how AI systems handle lead scoring, nurture sequence logic, timing optimization, and handoff signals to sales so your team is focused on high-value conversations instead of the mechanics of keeping the pipeline moving.

6. How to connect your marketing system to the metrics your board actually cares about

The board is not asking about impressions or publish frequency. They are asking about CAC, LTV, pipeline contribution, and payback period. You will learn how AI marketing systems get built around revenue metrics from the start, not retrofitted after the fact, and what that connection looks like in a reporting layer your leadership team can actually read.

7. Where human strategic judgment is non-negotiable in an AI marketing system 

The marketing organizations that fail with AI do so because they automate the wrong layer. Positioning, ICP targeting, messaging hierarchy, and offer strategy are not tasks for a system to own. We will show you where humans must remain in the loop and how to structure a system that handles execution without losing the strategic coherence that makes execution matter.

8. How growth-stage companies are running more campaigns with smaller teams 

Real examples from companies operating in the same conditions your team is in right now: flat headcount, growing pipeline targets, boards that want board-ready attribution. We walk through what the setup looked like, what changed operationally when the system went live, and what the output difference was across paid, organic, and lifecycle channels.

MEET THE SPEAKER

Hamlet Azarian has spent 20+ years doing one thing: figuring out why growth-stage companies plateau, and building the systems that move them forward. He founded Azarian Growth Agency as a full-funnel, data-driven growth firm, and has since helped companies across SaaS, e-commerce, fintech, and B2B tech raise over $300M and build marketing engines that scale without proportional headcount growth.

He is not a theorist. The AI marketing systems he will demonstrate in this session are the same ones his team builds and runs for clients. His work sits at the intersection of performance marketing, AI-native workflow design, and revenue operations, and his standard for a useful session is simple: you should be able to use what you learn the same week you learn it.

Hamlet also works directly with portfolio company marketing and leadership teams, which gives him a specific vantage point on what growth-stage CMOs are actually facing at the board level right now.
He has led 17 previous sessions in [A] Growth Lab webinar series, covering advanced Google Ads, Meta strategy, email infrastructure, server-side tracking, GEO, vibe marketing, and generative AI, consistently drawing senior marketing leaders who want operational depth, not surface-level overviews.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
221,372,C,Low priority,41,34,medium,apply_or_curated,0,0,21,18,6,-3,-10,"topic: infra/platform, B2B SaaS; signal: private/invite, builders/operators","infra/platform, B2B SaaS, private/invite, builders/operators, founders","near downtown; early-week push, morning drag, very early; off-ICP signals: consumer/lifestyle; apply or curated","Join Maersk and partners for an intimate, invite-only breakfast and discussion on how global trade moves, the innovation behind it, and how you and your startup/team can be posotioned to win. Maersk's innovation team is opening the door for a candid conversat...",5362,Maersk presents: The Future of Supply Chain,2026-06-01,08:30:00,Monday,2026-06-01 08:30,New York City,Union Square,Union Square,Morning,Rock Yard Ventures,Rock Yard Ventures,Maersk,Rock Yard Ventures; Maersk,rock-yard-ventures; maersk,False,,https://partiful.com/e/iDvWUNFiXJGuAHCBID5O,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/iDvWUNFiXJGuAHCBID5O,https://partiful.com/e/iDvWUNFiXJGuAHCBID5O,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/iDvWUNFiXJGuAHCBID5O-3e092f9617.html,RSVP to Maersk presents: The F… | Partiful,"Join Maersk and partners for an intimate, invite-only breakfast and discussion on how global trade moves, the innovation behind it, and how you and your startup/team can be posotioned to win. Maersk's innovation team is opening the door for a candid conversation on where supply chain technology is headed — the infrastructure being built, the bets being made, and what the next decade looks like for global logistics.

Expect sharp conversation, real perspectives from operators and investors, and no fluff.

Speakers include:
- Aruna Hussain, Global Head of Landside + CRM Product Development & Innovation @ Maersk
- Caroline Duffy, Partner @ Cowboy Ventures

Moderated by:
- Naomi Goez, Partner @ Forum Ventures

Food and drinks provided.

Space is limited.

Maersk is a global leader in integrated logistics, currently spearheading a digital revolution in the supply chain with a dedicated team of 100,000+ employees operating in more than 130 countries.

​​​​​​​Rock Yard Ventures is an early-stage venture capital firm backing exceptional founders redefining technology across core and foundational industries.

Forum Ventures is the leading early-stage fund, accelerator, and venture studio for B2B tech startups. Founded in 2014 and based in New York, San Francisco, and Toronto, we’re on a mission to make the zero-to-one journey easier, more accessible, and successful for founders. Forum is investing in 65+ companies this year.

This event is part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
222,373,C,Low priority,41,34,medium,apply_or_curated,0,0,0,17,2,13,0,"signal: high-signal format, builders/operators","high-signal format, builders/operators, networking format","midtown reachable; peak early-week day, evening friendly; apply or curated","/dev/color presents our 2nd Annual Black Innovators Panel & Mixer. This event assembles NYC’s own innovators building, operating, and investing in the future. Please apply to join us. Entry will be on a first come first serve basis. What to Expect: - Fireside...",3999,/dev/color Panel & Mixer,2026-06-02,18:00:00,Tuesday,2026-06-02 18:00,New York City,Midtown,Midtown,Evening,/dev/color,/dev/color,,/dev/color,dev-color,False,,https://partiful.com/e/nXuA6YoD01FXAVYj1tYX,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/nXuA6YoD01FXAVYj1tYX,https://partiful.com/e/nXuA6YoD01FXAVYj1tYX,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/nXuA6YoD01FXAVYj1tYX-18961a1706.html,RSVP to /dev/color Panel & Mix… | Partiful,"/dev/color presents our 2nd Annual Black Innovators Panel & Mixer.

This event assembles NYC’s own innovators building, operating, and investing in the future. Please apply to join us. Entry will be on a first come first serve basis.

What to Expect:
- Fireside chat with industry leaders
- Honest conversations about navigating the local & global innovation ecosystems
- Networking with NYC’s vibrant tech community
- Light bites, drinks, and good vibes
- Guidance on how to apply to join /dev/color

Let’s celebrate resilience, innovation, and the power of community.

Learn more about our org on our website: 
🔗 devcolor.org

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
223,374,C,Low priority,41,34,medium,apply_or_curated,0,0,0,17,2,13,0,"signal: curated room, founders","curated room, founders, networking format","midtown reachable; peak early-week day, evening friendly; apply or curated","​✅ INVESTORS PITCH TO YOU! Join us for an evening of exceptional networking and a chance to hear VCs pitch on their investment theses, target industries, check sizes, key differentiators, portfolios, and what they look for in founders! Agenda 6:00 PM — Networ...",123,Founders & Funders: VC Reverse Pitch,2026-06-02,18:00:00,Tuesday,2026-06-02 18:00,New York City,Midtown,Midtown,Evening,Founders N' Funders,Founders N' Funders,Atlassian,Atlassian; Founders N' Funders,atlassian; founders-n-funders,False,gold,https://partiful.com/e/M3xlfwQ93o3IjcGUAkIQ,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/M3xlfwQ93o3IjcGUAkIQ,https://partiful.com/e/M3xlfwQ93o3IjcGUAkIQ,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/M3xlfwQ93o3IjcGUAkIQ-f9550082d2.html,Founders & Funders: VC Reverse… | Partiful,"​✅ INVESTORS PITCH TO YOU!
Join us for an evening of exceptional networking and a chance to hear VCs pitch on their investment theses, target industries, check sizes, key differentiators, portfolios, and what they look for in founders!

Agenda
6:00 PM — Networking
6:30 PM — Pitch Session
7:10 PM — Networking
8:00 PM — Event Ends

​✅ APPLY NOW — THIS EVENT WILL FILL UP!
Previous events have resulted in multiple term sheets and successful funding rounds!

​✅LIMITED SPOTS AVAILABLE!!
This highly curated event prioritizes Pre-Seed and Seed founders raising capital, and active investors. You must be APPROVED to attend!

Sponsored by
Atlassian • Agora • Carta • Shopline

The event is a part of #NYTechWeek- a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.

#venturecapital #VC #startupfunding #fundraising #founder #investor"
224,375,C,Low priority,41,34,low-medium,apply_or_curated,0,0,0,17,2,13,0,"signal: curated room, high-signal format","curated room, high-signal format","midtown reachable; peak early-week day, evening friendly; apply or curated","Come meet NYC's family offices and those visiting for NYC Tech Week at this dinner, hosted by O'Shaughnessy Ventures and Mike MacCombie. This is the third year of hosting this dinner during NYC tech week. It will be a standing gathering for the first half hou...",5048,NYC Family Office Dinner,2026-06-02,19:00:00,Tuesday,2026-06-02 19:00,New York City,Midtown,Midtown,Evening,Generous Ventures,Generous Ventures,O'Shaughnessy Ventures,Generous Ventures; O'Shaughnessy Ventures,generous-ventures; o-shaughnessy-ventures,False,,https://partiful.com/e/h9bpa3i5jWUubKb7BpcQ?c=QiLvERXT,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/h9bpa3i5jWUubKb7BpcQ?c=QiLvERXT,https://partiful.com/e/h9bpa3i5jWUubKb7BpcQ,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/h9bpa3i5jWUubKb7BpcQ-2241137de8.html,RSVP to NYC Family Office Dinn… | Partiful,"Come meet NYC's family offices and those visiting for NYC Tech Week at this dinner, hosted by O'Shaughnessy Ventures and Mike MacCombie. This is the third year of hosting this dinner during NYC tech week. It will be a standing gathering for the first half hour, a seated dinner for the attendees to meet each other, and then an optional gathering for a larger group of FOs to continue the conversation afterwards. It is strictly curated for members of families with active startup investing practices, or full time investors at family offices with venture strategies.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
225,376,C,Low priority,41,34,medium,apply_or_curated,0,0,0,18,2,12,0,"signal: curated room, builders/operators","curated room, builders/operators, networking format","midtown reachable; peak midweek day, evening friendly; apply or curated","End your day in the Big Apple with the perfect blend of melody, flavor, and connection. Jazz & Wine brings together wine enthusiasts, innovators, and industry leaders for an evening you won't want to miss. 🍷 Curated Wine Tasting Savor a selection of wines, ea...",4758,Jazz & Wine: A Night of Connections,2026-06-03,17:00:00,Wednesday,2026-06-03 17:00,New York City,Midtown,Midtown,Evening,Alt-Black,Alt-Black,TriNet,Alt-Black; TriNet,alt-black; trinet,False,,https://partiful.com/e/AweaKcED4gNSr3LJzfCG,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/AweaKcED4gNSr3LJzfCG,https://partiful.com/e/AweaKcED4gNSr3LJzfCG,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/AweaKcED4gNSr3LJzfCG-0b61a57bfd.html,RSVP to Jazz & Wine: A Night o… | Partiful,"End your day in the Big Apple with the perfect blend of melody, flavor, and connection. Jazz & Wine brings together wine enthusiasts, innovators, and industry leaders for an evening you won't want to miss.

🍷 Curated Wine Tasting Savor a selection of wines, each with its own story, terroir, and character. Guided by wine experts, you'll explore the depth and complexity that make each pour worth savoring.

🎷 Jazz & Networking Let the sounds of jazz set the tone for great conversation. Whether you're looking to make new business connections, exchange ideas, or simply enjoy a great glass of wine, you'll find your people here.

Join us for a memorable close to your evening, where great wine meets great minds.

This event is a part of #NYTechWeek — a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
226,377,C,Low priority,41,34,medium,apply_or_curated,7,0,10,13,2,12,-12,"buyer: executives; topic: AI; signal: builders/operators, founders","executives, AI, builders/operators, founders, networking format","midtown reachable; peak midweek day, evening friendly; off-ICP signals: marketing/GTM/creator; apply or curated","Join us to share and develop AI+GTM experience in a hands-on Masterclass, hosted by the NYC GTM community for GTM practitioners and executives, founders, and YC alumni. ​Space is limited and guests are hand picked - priority approval and immediate confirmatio...",6229,NYC GTM AI Masterclass #5,2026-06-03,17:30:00,Wednesday,2026-06-03 17:30,New York City,Midtown,Midtown,Evening,NYC GTM: New York City's Go-To-Market Community,NYC GTM: New York City's Go-To-Market Community,Impact 11; Swan,NYC GTM: New York City's Go-To-Market Community; Impact 11; Swan,nyc-gtm-new-york-city-s-go-to-market-community; impact-11; swan,False,,https://partiful.com/e/2J98m1NN4k4mRVUqeI6k?,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/2J98m1NN4k4mRVUqeI6k,https://partiful.com/e/2J98m1NN4k4mRVUqeI6k,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/2J98m1NN4k4mRVUqeI6k-f60dcf95fd.html,NYC GTM AI Masterclass #5 - #N… | Partiful,"Join us to share and develop AI+GTM experience in a hands-on Masterclass, hosted by the NYC GTM community for GTM practitioners and executives, founders, and YC alumni.

​Space is limited and guests are hand picked - priority approval and immediate confirmation tickets are now available.

​Meanwhile, you're welcome to join the NYC GTM community WhatsApp group: nycgtm.com/chat

​---

​​Agenda:

​5:30-6:00 pm - Pizza, Drinks, Networking

​6:00-6:30 pm - TED talks

6:30-7:00 pm - Expert panel

7:00-7:45 pm - Lightning Hands-on Demos

7:45-8:30 pm - Networking

​---

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
227,378,C,Low priority,41,34,medium,apply_or_curated,0,0,10,25,2,12,-17,"topic: AI; signal: curated room, small room","AI, curated room, small room, founders, networking format","midtown reachable; peak midweek day, evening friendly; off-ICP signals: finance/investor vertical, investor-heavy; apply or curated","This is a curated gathering for family offices, institutional allocators, and a small group of frontier investors and founders shaping the future of AI and robotics. As part of #NYTechWeek, we’re bringing together: -> LPs / Allocators actively deploying into...",5126,"AI & Robotics Capital Forum - Allocators, Founders & Frontier GPs",2026-06-03,18:00:00,Wednesday,2026-06-03 18:00,New York City,Midtown,Midtown,Evening,Geek Ventures,Geek Ventures,,Geek Ventures,geek-ventures,False,,https://partiful.com/e/XFVFlVvd7oHLoxAu8IkK,https://www.tech-week.com/calendar/nyc,200,,https://partiful.com/e/XFVFlVvd7oHLoxAu8IkK,https://partiful.com/e/XFVFlVvd7oHLoxAu8IkK,/Users/nv/repos/0x4007/techweek-2026-event-picker/techweek_nyc_event_pages/XFVFlVvd7oHLoxAu8IkK-c356e34867.html,AI & Robotics Capital Forum - … | Partiful,"This is a curated gathering for family offices, institutional allocators, and a small group of frontier investors and founders shaping the future of AI and robotics.

As part of #NYTechWeek, we’re bringing together:
-> LPs / Allocators actively deploying into early-stage venture
-> Select GPs investing in AI, robotics, and deep tech (invited, LP-accompanied)
-> Series A+ founders building category-defining companies

Expect:
-> High-signal conversations on capital allocation into frontier technologies
-> Direct access to top-tier founders building real AI/robotics companies
-> A room optimized for LP-GP-Founder connectivity, not volume networking

Important:
GPs are welcome with an allocator or LP guest. Priority access is given to family offices and institutional investors.

This event is a part of #NYTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com."
