calendar,techweek_id,calendar_block_id,partiful_id,rerank_id,entry_type,status,category,start,end,actual_start,actual_end,title,location,venue_query,venue_precision,route_mode,travel_minutes,route_details,subway_segments,transit_risk,note,sales_coaching,rank,tier,opportunity_score,event_url,google_maps_url
schedule,TW-5889,TW-5889-TRAVEL-IN,4HvzWY1VZlHgK21fMBUz,,travel,registered,travel,2026-06-03 11:22,2026-06-03 12:00,2026-06-03 11:22,2026-06-03 12:00,"Travel: 15 Cliff Street, New York, NY 10038 -> Building secure AI for your data: DeepFellow Demo + Q&A","15 Cliff Street, New York, NY 10038 -> 368 9th Ave, New York, NY 10001, United States","15 Cliff Street, New York, NY 10038 -> 368 9th Ave, New York, NY 10001, United States",,subway+walk,38,Walk 3 min to Fulton St (2/3); subway 24 min; walk 6 min from 34 St-Penn Station (A/C/E); includes 5 min buffer.,2 Fulton St to 34 St-Penn Station,Minor delays possible,,,,,,https://partiful.com/e/4HvzWY1VZlHgK21fMBUz?c=g5NbnbjN,https://www.google.com/maps/dir/?api=1&origin=40.7084297%2C-74.0056635&destination=40.7511486%2C-73.9976401&travelmode=transit
schedule,TW-5889,TW-5889-SCHEDULE,4HvzWY1VZlHgK21fMBUz,5889,event,applied,primary,2026-06-03 12:00,2026-06-03 13:15,2026-06-03 12:00,2026-06-03 13:15,[PENDING] Building secure AI for your data: DeepFellow Demo + Q&A,"368 9th Ave, New York, NY 10001, United States","368 9th Ave, New York, NY 10001, United States",exact_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Tie security and data controls to audit-ready engineering evidence.
Ask: How are you proving AI-assisted engineering work was reviewed without leaking sensitive context?
Listen for: Security reviews, data access, compliance needs, audit trails, manager sign-off.
Follow-up: Offer a follow-up focused on source-linked evidence without surveillance dashboards.",16,S,80,https://partiful.com/e/4HvzWY1VZlHgK21fMBUz?c=g5NbnbjN,https://www.google.com/maps/search/?api=1&query=368+9th+Ave%2C+New+York%2C+NY+10001%2C+United+States
reference,TW-5820,TW-5820-REFERENCE,titPml1Nw0DKwGl9B6CF,5820,event,applied,apply,2026-06-03 13:30,2026-06-03 17:00,2026-06-03 13:30,2026-06-03 17:00,[PENDING CURATED] Anthropic Founder Salon: Inside the AI-Native Era,"New York, NY - Chelsea neighborhood (venue details upon confirmation)","New York, NY – Chelsea neighborhood (venue details upon confirmation)",approx_freeform,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: AI-native founders will understand the operating-model shift.
Ask: How do AI-native teams evaluate human contribution when agents produce more of the visible output?
Listen for: Small teams scaling fast, agent-heavy workflows, contribution rewards, manager memory breaking down.
Follow-up: Ask for a founder-to-founder product critique and one relevant buyer intro.",9,S,94,https://partiful.com/e/titPml1Nw0DKwGl9B6CF,https://www.google.com/maps/search/?api=1&query=New+York%2C+NY+%E2%80%93+Chelsea+neighborhood+%28venue+details+upon+confirmation%29
schedule,TW-4444,TW-4444-TRAVEL-IN,1N6CtiCpYquktoTh5NUm,,travel,registered,travel,2026-06-03 13:38,2026-06-03 14:00,2026-06-03 13:38,2026-06-03 14:00,Travel: Building secure AI for your data: DeepFellow Demo + Q&A -> The Future of Coding Agents and IDE,"Building secure AI for your data: DeepFellow Demo + Q&A -> 1155 6th Ave, New York, NY 10036","Building secure AI for your data: DeepFellow Demo + Q&A -> 1155 6th Ave, New York, NY 10036",,walk,22,Walk approx 22 min / 1690 m using OSM-geocoded points.,,,,,,,,https://partiful.com/e/1N6CtiCpYquktoTh5NUm,https://www.google.com/maps/dir/?api=1&origin=40.7511486%2C-73.9976401&destination=40.7564611%2C-73.9831996&travelmode=walking
schedule,TW-4444,TW-4444-SCHEDULE,1N6CtiCpYquktoTh5NUm,4444,event,registered,primary,2026-06-03 14:00,2026-06-03 15:00,2026-06-03 14:00,2026-06-03 15:00,[REG] The Future of Coding Agents and IDE,"1155 6th Ave, New York, NY 10036","1155 6th Ave, New York, NY 10036",manual_exact_manhattan,,,,,,On the list; monitor for updates Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=APPROVED; count=2; plusOne=TBD; approved 2026-05-11 00:23 ET.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Talk about the IDE as the point where human and agent work blur.
Ask: When agents write code, what human work still needs credit?
Listen for: Prompting, spec writing, review corrections, architectural judgment, tool orchestration.
Follow-up: Ask to sanity-check the Accolades framing with builders using coding agents daily.",27,A,72,https://partiful.com/e/1N6CtiCpYquktoTh5NUm,https://www.google.com/maps/search/?api=1&query=1155+6th+Ave%2C+New+York%2C+NY+10036
schedule,,TW-20260603-MEAL-FOOD,,,meal,registered,meal,2026-06-03 15:00,2026-06-03 15:30,2026-06-03 15:00,2026-06-03 15:30,Meal: Quick food / reset,Midtown,Midtown,meal_buffer,,,,,,Hectic-day 30-minute grab-and-go slot before the next walk.,,,,,,https://www.google.com/maps/search/?api=1&query=Midtown+Manhattan%2C+New+York%2C+NY
schedule,TW-5529,TW-5529-TRAVEL-IN,E8NhJNHWGhMetLlrFvQ7,,travel,registered,travel,2026-06-03 15:30,2026-06-03 16:00,2026-06-03 15:30,2026-06-03 16:00,Travel: The Future of Coding Agents and IDE -> Fireside chat - When coding agents are the user?,"The Future of Coding Agents and IDE -> South Park Commons, 36 Cooper Square,, New York, NY","The Future of Coding Agents and IDE -> South Park Commons, 36 Cooper Square,, New York, NY",,subway+walk,30,Walk 5 min to Times Sq-42 St (GS); subway 16 min; walk 4 min from Astor Pl (4/6); includes 5 min buffer.,GS Times Sq-42 St to Grand Central-42 St; 5 Grand Central-42 St to 14 St-Union Sq; 4 14 St-Union Sq to Astor Pl,Minor delays possible,,,,,,https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7,https://www.google.com/maps/dir/?api=1&origin=40.7564611%2C-73.9831996&destination=40.7283276%2C-73.9915654&travelmode=transit
reference,TW-4719,TW-4719-REFERENCE,2NP0rZW8BmdGAGUOEhGP,4719,event,applied,apply,2026-06-03 16:00,2026-06-03 21:00,2026-06-03 16:00,2026-06-03 21:00,[PENDING CURATED] Agent Harnesses: What It Takes to Make AI Agents Work in the Enterprise,"Union Square W, New York, NY 10003","Union Square W, New York, NY 10003",exact_from_partiful_maps,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Agent harnesses are about production reliability; connect that to human accountability.
Ask: What human evidence needs to sit beside the harness output before an enterprise trusts agent work?
Listen for: Enterprise adoption, internal platforms, review gates, evaluation records, ownership.
Follow-up: Ask to discuss how Accolades could consume evidence from agent harness workflows.",8,S,97,https://partiful.com/e/2NP0rZW8BmdGAGUOEhGP?f=1,https://www.google.com/maps/search/?api=1&query=Union+Square+W%2C+New+York%2C+NY+10003
schedule,TW-5529,TW-5529-SCHEDULE,E8NhJNHWGhMetLlrFvQ7,5529,event,registered,primary,2026-06-03 16:00,2026-06-03 17:15,2026-06-03 16:00,2026-06-03 17:15,[REG] Fireside chat - When coding agents are the user?,"South Park Commons, 36 Cooper Square,, New York, NY","South Park Commons, 36 Cooper Square,, New York, NY",exact_from_signup_status,,,,,,Registered; monitor for updates Submitted via Partiful API; rsvpStatus=GOING; count=2; plusOne=TBD.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Use the event title directly: if agents are users, the system of record matters.
Ask: If the agent is the user, what becomes the system of record for useful work?
Listen for: Tool schemas, docs, prompts, guardrails, review evidence, ownership boundaries.
Follow-up: Ask for feedback on whether Accolades should track agent-orchestration evidence explicitly.",15,S,81,https://partiful.com/e/E8NhJNHWGhMetLlrFvQ7,https://www.google.com/maps/search/?api=1&query=South+Park+Commons%2C+36+Cooper+Square%2C%2C+New+York%2C+NY
reference,TW-4882,TW-4882-REFERENCE,pIS8aostHgPm9GXmaN6X,4882,event,applied,latest-added,2026-06-03 17:00,2026-06-03 18:30,2026-06-03 17:00,2026-06-03 18:30,[PENDING ADDED] Voice AI Meetup: Build a Voice Agent in 1 hour,"Rockefeller Center, New York, NY","Rockefeller Center, New York, NY",approx_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; linkedPlusOneFailures=0. rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,,added-14,B,50,https://partiful.com/e/pIS8aostHgPm9GXmaN6X,https://www.google.com/maps/search/?api=1&query=Rockefeller+Center%2C+New+York%2C+NY
schedule,TW-4664,TW-4664-TRAVEL-IN,6ZuudQBBZXcMNjdMynJ2,,travel,registered,travel,2026-06-03 17:29,2026-06-03 18:00,2026-06-03 17:29,2026-06-03 18:00,Travel: Fireside chat - When coding agents are the user? -> MCP in the Wild: Panel & Night of Networking,"Fireside chat - When coding agents are the user? -> 419 Lafayette St 6th floor New York, NY 10003, USA","Fireside chat - When coding agents are the user? -> 419 Lafayette St 6th floor New York, NY 10003, USA",,subway+walk,31,Walk 4 min to Astor Pl (4/6); subway 12 min; walk 10 min from Grand Central-42 St (7); includes 5 min buffer.,4 Astor Pl to Grand Central-42 St,Minor delays possible,,,,,,https://partiful.com/events/6ZuudQBBZXcMNjdMynJ2,https://www.google.com/maps/dir/?api=1&origin=40.7283276%2C-73.9915654&destination=40.750632%2C-73.9687884&travelmode=transit
reference,TW-4931,TW-4931-REFERENCE,tPlMvExfd6gOdgKCW6O7,4931,event,applied,latest-added,2026-06-03 17:30,2026-06-03 19:00,2026-06-03 17:30,2026-06-03 19:00,[PENDING ADDED] Tessera Labs x a16z : The Closing Gap (Private Dinner),"ilili, 236 5th Ave, New York, NY","ilili, 236 5th Ave, New York, NY",exact_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; linkedPlusOneFailures=0. rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,,added-5,B,55,https://partiful.com/e/tPlMvExfd6gOdgKCW6O7,https://www.google.com/maps/search/?api=1&query=ilili%2C+236+5th+Ave%2C+New+York%2C+NY
reference,TW-5693,TW-5693-REFERENCE,Fp5STyPH0McEt0awlWFD,5693,event,applied,backup,2026-06-03 17:30,2026-06-03 20:30,2026-06-03 17:30,2026-06-03 20:30,[PENDING BACKUP] Camp AI: Agents at Work,"620 8th Ave, New York, NY 10018","620 8th Ave, New York, NY 10018",manual_exact_manhattan,,,,,,Wait for host approval Submitted via Partiful API after user confirmed age 21+; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Keep this practical: agents at work means work attribution is getting messy.
Ask: When an agent helps ship something, who gets credit for the useful parts of the workflow?
Listen for: Agent orchestration, prompt/spec work, review corrections, workflow ownership.
Follow-up: Ask for examples of workflows Accolades should recognize or avoid recognizing.",19,S,78,https://partiful.com/e/Fp5STyPH0McEt0awlWFD,https://www.google.com/maps/search/?api=1&query=620+8th+Ave%2C+New+York%2C+NY+10018
reference,TW-4778,TW-4778-REFERENCE,h1hGv0PkskcagJOv5M9K,4778,event,registered,apply,2026-06-03 17:30,2026-06-03 19:30,2026-06-03 17:30,2026-06-03 19:30,[REG CURATED] The CTO Mixer: Humanizing Tech | Happy Hour,"Midtown, 130 E 57th St, New York, NY","Midtown, 130 E 57th St, New York, NY",exact_from_signup_status,,,,,,On the list; monitor for updates Partiful page shows ON THE LIST as of 2026-05-10. Previously submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: This is a direct CTO room. Ask about pain before explaining the product.
Ask: What is hardest for your managers to evaluate now that AI touches more engineering work?
Listen for: Performance reviews, planning evidence, PR quality, distributed-team context, DevEx ownership.
Follow-up: If pain is clear, ask for a 20-minute CTO follow-up and permission to send a one-pager.",6,S,100,https://partiful.com/e/h1hGv0PkskcagJOv5M9K,https://www.google.com/maps/search/?api=1&query=Midtown%2C+130+E+57th+St%2C+New+York%2C+NY
reference,TW-5720,TW-5720-REFERENCE,Vkvjr5dBr2FmbI2yK5UB,5720,event,applied,latest-added,2026-06-03 18:00,2026-06-03 19:30,2026-06-03 18:00,2026-06-03 19:30,"[PENDING ADDED] Data Center, Power & Enterprise Infrastructure Dinner","Central Park, Manhattan, New York, NY","Central Park, Manhattan, New York, NY",approx_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; linkedPlusOneFailures=0. rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,,added-1,A,73,https://partiful.com/e/Vkvjr5dBr2FmbI2yK5UB,https://www.google.com/maps/search/?api=1&query=Central+Park%2C+Manhattan%2C+New+York%2C+NY
reference,TW-6519,TW-6519-REFERENCE,p74X9KDrgoLaDtU8BmvS,6519,event,applied,latest-added,2026-06-03 18:00,2026-06-03 19:30,2026-06-03 18:00,2026-06-03 19:30,[PENDING ADDED] SGLang Happy Hour: AI Infra in Finance,"1/2 Bond St, 1 Bond St, New York, NY","1/2 Bond St, 1 Bond St, New York, NY",exact_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; linkedPlusOneFailures=0. rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,,added-2,A,67,https://partiful.com/e/p74X9KDrgoLaDtU8BmvS,https://www.google.com/maps/search/?api=1&query=1%2F2+Bond+St%2C+1+Bond+St%2C+New+York%2C+NY
schedule,TW-4664,TW-4664-SCHEDULE,6ZuudQBBZXcMNjdMynJ2,4664,event,applied,primary,2026-06-03 18:00,2026-06-03 20:30,2026-06-03 18:00,2026-06-03 20:30,[PENDING] MCP in the Wild: Panel & Night of Networking,"419 Lafayette St 6th floor New York, NY 10003, USA","419 Lafayette St 6th floor New York, NY 10003, USA",exact_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: MCP people will understand context plumbing. Map that to later evaluation.
Ask: What context should tools expose so contribution can be evaluated after the work ships?
Listen for: Tool-call trails, context sources, agent actions, human review, integration ownership.
Follow-up: Ask for technical feedback on evidence capture from tool and agent workflows.",58,A,63,https://partiful.com/events/6ZuudQBBZXcMNjdMynJ2,https://www.google.com/maps/search/?api=1&query=419+Lafayette+St+6th+floor+New+York%2C+NY+10003%2C+USA
reference,TW-4197,TW-4197-REFERENCE,UhyErPPxuo2vELIutdGj,4197,event,applied,apply,2026-06-03 19:00,2026-06-03 21:00,2026-06-03 19:00,2026-06-03 21:00,[PENDING CURATED] The Tech Leaders Suite,"Barclays Center, Brooklyn, NY","Barclays Center, Brooklyn, NY",approx_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Use leadership language: visibility without surveillance.
Ask: What evidence do tech leaders wish they had for planning and reviews without turning into surveillance?
Listen for: Manager reporting, trust, team health, engineering productivity, executive visibility.
Follow-up: Ask for a leadership-focused follow-up if they manage engineers or internal platforms.",5,S,100,https://partiful.com/e/UhyErPPxuo2vELIutdGj?,https://www.google.com/maps/search/?api=1&query=Barclays+Center%2C+Brooklyn%2C+NY
schedule,,TW-20260603-MEAL-DINNER,,,meal,registered,meal,2026-06-03 20:30,2026-06-03 21:30,2026-06-03 20:30,2026-06-03 21:30,Meal: Dinner after MCP in the Wild,East Village,East Village,meal_buffer,,,,,,One-hour meal buffer before heading home.,,,,,,https://www.google.com/maps/search/?api=1&query=East+Village%2C+New+York%2C+NY
schedule,TW-4664,TW-20260603-TRAVEL-HOME,6ZuudQBBZXcMNjdMynJ2,,travel,registered,travel,2026-06-03 21:30,2026-06-03 22:01,2026-06-03 21:30,2026-06-03 22:01,"Travel: MCP in the Wild: Panel & Night of Networking -> 15 Cliff Street, New York, NY 10038","MCP in the Wild: Panel & Night of Networking -> 15 Cliff Street, New York, NY 10038","MCP in the Wild: Panel & Night of Networking -> 15 Cliff Street, New York, NY 10038",,subway+walk,31,Walk 10 min to Grand Central-42 St (7); subway 13 min; walk 3 min from Fulton St (2/3); includes 5 min buffer.,7 Grand Central-42 St to Grand Central-42 St; 5 Grand Central-42 St to Fulton St,Minor delays possible,,,,,,https://partiful.com/events/6ZuudQBBZXcMNjdMynJ2,https://www.google.com/maps/dir/?api=1&origin=40.750632%2C-73.9687884&destination=40.7084297%2C-74.0056635&travelmode=transit
schedule,,TW-20260604-SLEEP,,,sleep,registered,sleep,2026-06-04 03:15,2026-06-04 11:15,2026-06-04 03:15,2026-06-04 11:15,Sleep: 8 hours,"15 Cliff Street, New York, NY 10038","15 Cliff Street, New York, NY 10038",sleep_buffer,,,,,,Staggered late sleep block; night-to-night bedtime shift stays within 30 minutes.,,,,,,https://www.google.com/maps/search/?api=1&query=15+Cliff+Street%2C+New+York%2C+NY+10038
schedule,TW-6642,TW-6642-TRAVEL-IN,WJe6XcxPXwbpCiCVLCas,,travel,registered,travel,2026-06-04 11:43,2026-06-04 12:30,2026-06-04 11:43,2026-06-04 12:30,"Travel: 15 Cliff Street, New York, NY 10038 -> The Semiconductor & AI Supply Chain Lunch: Investors & Operators","15 Cliff Street, New York, NY 10038 -> Midtown East, New York, NY","15 Cliff Street, New York, NY 10038 -> Midtown East, New York, NY",,subway+walk,47,Walk 3 min to Fulton St (2/3); subway 35 min; walk 4 min from 5 Av/53 St (E/F); includes 5 min buffer.,2 Fulton St to 50 St; E 50 St to 5 Av/53 St,Minor delays possible,,,,,,https://partiful.com/e/WJe6XcxPXwbpCiCVLCas,https://www.google.com/maps/dir/?api=1&origin=40.7084297%2C-74.0056635&destination=40.7598219%2C-73.9724708&travelmode=transit
schedule,TW-6642,TW-6642-SCHEDULE,WJe6XcxPXwbpCiCVLCas,6642,event,applied,latest-added-route,2026-06-04 12:30,2026-06-04 14:00,2026-06-04 12:30,2026-06-04 14:00,[PENDING] The Semiconductor & AI Supply Chain Lunch: Investors & Operators,"Midtown East, New York, NY","Midtown East, New York, NY",approx_from_signup_status,,,,,,"Latest-feed add with no direct conflict; keep on the route if approved, otherwise use as a reference-only lunch option. Wait for host approval Existing Partiful guest record found; left unchanged. rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.",,added-12,B,51,https://partiful.com/e/WJe6XcxPXwbpCiCVLCas,https://www.google.com/maps/search/?api=1&query=Midtown+East%2C+New+York%2C+NY
reference,TW-6526,TW-6526-REFERENCE,tUV88fW7J763Q0ZLdTBI,6526,event,applied,latest-added,2026-06-04 13:00,2026-06-04 14:30,2026-06-04 13:00,2026-06-04 14:30,[PENDING ADDED] The Mooch and IBM’s Gary Cohn on Owning the Future: Digital Sovereignty in the Age of AI,"IBM One Madison Avenue, 1 Madison Ave, FL 2, New York, NY","23rd Street and Broadway, New York, NY",approx_from_calendar_location,,,,,,Wait for host approval Submitted via Partiful API; linkedPlusOneFailures=0. rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,,added-22,B,49,https://partiful.com/e/tUV88fW7J763Q0ZLdTBI,https://www.google.com/maps/search/?api=1&query=23rd+Street+and+Broadway%2C+New+York%2C+NY
schedule,,TW-20260604-MEAL-LUNCH,,,meal,registered,meal,2026-06-04 14:30,2026-06-04 15:30,2026-06-04 14:30,2026-06-04 15:30,Meal: Late lunch / reset,"15 Cliff Street, New York, NY 10038","15 Cliff Street, New York, NY 10038",meal_buffer,,,,,,One-hour meal buffer before leaving for the Thursday route.,,,,,,https://www.google.com/maps/search/?api=1&query=15+Cliff+Street%2C+New+York%2C+NY+10038
schedule,TW-5372,TW-5372-TRAVEL-IN,5K5c4eODrGPKME7or20H,,travel,registered,travel,2026-06-04 15:10,2026-06-04 16:00,2026-06-04 15:10,2026-06-04 16:00,Travel: The Semiconductor & AI Supply Chain Lunch: Investors & Operators -> Shipping Faster with AI Coding Agents: What's Working and What's Not,"The Semiconductor & AI Supply Chain Lunch: Investors & Operators -> Materialize Offices, 436 Lafayette St, Floor 6, New York, NY 10003","The Semiconductor & AI Supply Chain Lunch: Investors & Operators -> Materialize Offices, 436 Lafayette St, Floor 6, New York, NY 10003",,subway+walk,50,Walk 4 min to 5 Av/53 St (E/F); subway 39 min; walk 2 min from 8 St-NYU (N/Q/R/W); includes 5 min buffer.,E 5 Av/53 St to Woodhaven Blvd; R Woodhaven Blvd to 8 St-NYU,Minor delays possible,,,,,,https://partiful.com/e/5K5c4eODrGPKME7or20H,https://www.google.com/maps/dir/?api=1&origin=40.7598219%2C-73.9724708&destination=40.729391%2C-73.9921562&travelmode=transit
reference,TW-6577,TW-6577-REFERENCE,KIimVVdYB8fjaiE1UdZz,6577,event,applied,latest-added,2026-06-04 16:00,2026-06-04 17:30,2026-06-04 16:00,2026-06-04 17:30,[PENDING ADDED] Built in NYC: AI Edition,Flatiron,"23rd Street and Broadway, New York, NY",approx_from_calendar_location,,,,,,Wait for host approval Submitted via Partiful API; linkedPlusOneFailures=0. rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,,added-24,B,49,https://partiful.com/e/KIimVVdYB8fjaiE1UdZz,https://www.google.com/maps/search/?api=1&query=23rd+Street+and+Broadway%2C+New+York%2C+NY
schedule,TW-5372,TW-5372-SCHEDULE,5K5c4eODrGPKME7or20H,5372,event,applied,primary,2026-06-04 16:00,2026-06-04 18:48,2026-06-04 16:00,2026-06-04 19:00,[PENDING] Shipping Faster with AI Coding Agents: What's Working and What's Not,"Materialize Offices, 436 Lafayette St, Floor 6, New York, NY 10003","Materialize Offices, 436 Lafayette St, Floor 6, New York, NY 10003",exact_from_signup_status,,,,,,Leave early if needed so you can make the registered 19:00 Stop Making AI Guess event. Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none. Route calendar shortens this from the event's scheduled 19:00 end; leave 12 min early for transit.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: This is a direct AI-coding workflow room. Start with manager trust.
Ask: What changed in your review process after AI started writing more code?
Listen for: Review overload, shallow approvals, unclear ownership, productivity claims without evidence.
Follow-up: Ask for a buyer call with the engineering leader responsible for AI coding adoption.",4,S,100,https://partiful.com/e/5K5c4eODrGPKME7or20H,https://www.google.com/maps/search/?api=1&query=Materialize+Offices%2C+436+Lafayette+St%2C+Floor+6%2C+New+York%2C+NY+10003
reference,TW-4191,TW-4191-REFERENCE,6BlGFmwIdpyndqyLYS2v,4191,event,applied,backup,2026-06-04 18:00,2026-06-04 20:00,2026-06-04 18:00,2026-06-04 20:00,[PENDING BACKUP] Agents at Scale,"SoHo, Manhattan, New York, NY","SoHo, Manhattan, New York, NY",approx_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: For agent scale, focus on attribution across many automated steps.
Ask: When agents run at scale, how do you separate valuable human judgment from automated output?
Listen for: Evaluation gaps, agent ops, review ownership, platform labor, traceability.
Follow-up: Ask to learn how they log agent work today and whether source-linked credit would fit.",10,S,93,https://partiful.com/e/6BlGFmwIdpyndqyLYS2v?c=bv5YqCoL,https://www.google.com/maps/search/?api=1&query=SoHo%2C+Manhattan%2C+New+York%2C+NY
reference,TW-4826,TW-4826-REFERENCE,sGvp4VIr3KrGqRoWCKhV,4826,event,applied,backup,2026-06-04 18:00,2026-06-04 19:30,2026-06-04 18:00,2026-06-04 19:30,[PENDING BACKUP] Steal These AI Workflows: Live Demos from NYC's Top AI Builders,"Union Square E, New York, NY 10003","Union Square E, New York, NY 10003",exact_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none. Secondary Google Form submitted for UbiquityOS Accolades build demo.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: This is a live-demo room. Use your own build story, then ask about workflow data.
Ask: Which parts of your AI workflow create useful evidence that managers should see later?
Listen for: Prompting, issue specs, PRs, Slack decisions, demos that could become repeatable workflows.
Follow-up: Ask demo builders to name one evidence source Accolades should integrate first.",34,A,66,https://partiful.com/e/sGvp4VIr3KrGqRoWCKhV,https://www.google.com/maps/search/?api=1&query=Union+Square+E%2C+New+York%2C+NY+10003
reference,TW-4183,TW-4183-REFERENCE,bETmU06uq4TtORng6I1l,4183,event,waitlisted,apply,2026-06-04 18:30,2026-06-04 21:30,2026-06-04 18:30,2026-06-04 21:30,[WAITLIST CURATED] Engineering Leaders After Hours: A Build and Ship Cocktail Competition,"Bar Chef, 21 W 35th St,, New York, NY 10001","Bar Chef, 21 W 35th St,, New York, NY 10001",exact_from_signup_status,,,,,,Monitor waitlist / host approval Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=WAITLISTED_FOR_APPROVAL; count=1; plusOne=none; moved to waitlist 2026-05-11 10:32 ET.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: This may be the best direct engineering-manager room. Be crisp and buyer-oriented.
Ask: What do your managers use as evidence when deciding who moved a project forward?
Listen for: Performance-review pain, review quality, planning work, manager memory, team rewards.
Follow-up: Ask for a concrete follow-up with the engineering leader or manager who owns the pain.",20,S,78,https://partiful.com/e/bETmU06uq4TtORng6I1l,https://www.google.com/maps/search/?api=1&query=Bar+Chef%2C+21+W+35th+St%2C%2C+New+York%2C+NY+10001
schedule,TW-5114,TW-5114-TRAVEL-IN,X0u5GrmzvIUTrjoAOgVm,,travel,registered,travel,2026-06-04 18:48,2026-06-04 19:00,2026-06-04 18:48,2026-06-04 19:00,Travel: Shipping Faster with AI Coding Agents: What's Working and What's Not -> Stop Making AI Guess: When Your Codebase Becomes the Spec,Shipping Faster with AI Coding Agents: What's Working and What's Not -> Union Square,Shipping Faster with AI Coding Agents: What's Working and What's Not -> Union Square,,walk,12,Walk approx 12 min / 898 m using OSM-geocoded points.,,,Leave previous event 12 min before its scheduled end.,,,,,https://partiful.com/e/X0u5GrmzvIUTrjoAOgVm,https://www.google.com/maps/dir/?api=1&origin=40.729391%2C-73.9921562&destination=40.735736%2C-73.990568&travelmode=walking
reference,TW-6594,TW-6594-REFERENCE,PhqnW15PCQAdoENB6aNl,6594,event,applied,latest-added,2026-06-04 19:00,2026-06-04 20:30,2026-06-04 19:00,2026-06-04 20:30,"[PENDING ADDED] Founders, Investors & Builders — An Intimate NYC Cocktail Evening",Union Square,"Union Square, Manhattan, New York, NY",approx_from_calendar_location,,,,,,Wait for host approval Submitted via Partiful API; linkedPlusOneFailures=0. rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,,added-6,B,55,https://partiful.com/e/PhqnW15PCQAdoENB6aNl,https://www.google.com/maps/search/?api=1&query=Union+Square%2C+Manhattan%2C+New+York%2C+NY
